timestamp,inbound,outbound
1788750000,176746932.9264015,50149419.40829158
1788751800,187942553.8081472,52096068.59494698
1788753600,185605483.27270716,54196456.45719185
1788755400,192941412.3919074,60896232.649758406
1788757200,209094824.63838702,55247554.31732957
1788759000,205355749.7814552,55092589.30160032
1788760800,205020324.25021753,57095579.40890188
1788762600,206009317.2635375,54672197.758306056
1788764400,207447344.6443338,50814888.97800275
1788766200,218064932.1730541,48527621.06153505
1788768000,187857758.4228292,48977374.628810756
1788769800,192049767.05355304,55174779.11206629
1788771600,193370532.63902664,57587651.25987735
1788773400,188366305.41049412,55659234.623513214
1788775200,181321702.96850616,61525309.071680665
1788777000,189148535.4274744,55648807.90641143
1788778800,174907768.72323826,56401320.72481453
1788780600,173784003.31959116,57091222.32800518
1788782400,158343755.88936466,55881883.85593002
1788784200,172769660.7717978,46343879.73544339
1788786000,182283989.42928764,47140286.268446766
1788787800,179195379.8927473,39547103.40846907
1788789600,177671214.1964265,36797956.425200514
1788791400,194398217.32460922,42351145.58240026
1788793200,175579565.23753703,38884983.88594859
1788795000,140345488.10332158,42143169.641811416
1788796800,109351727.07028691,43354426.83004129
1788798600,99419819.75231321,46903983.839083925
1788800400,81259990.03686012,44528263.44208094
1788802200,73637981.47840428,42574736.33583864
1788804000,61319783.72335434,32205171.90020788
1788805800,54966753.00203445,25423838.061063696
1788807600,46419373.987118416,18423361.817012157
1788809400,47155101.406538546,14159646.65633593
1788811200,42181831.61623724,11990819.777383773
1788813000,39132531.39339,16075210.523625892
1788814800,36077741.70854751,27875569.023474034
1788816600,41084253.77232618,32921278.45359988
1788818400,55445217.17455404,44211570.93837914
1788820200,64960353.41526465,50536888.884605736
1788822000,87577104.07163951,55009867.44296887
1788823800,100840428.20228346,60426446.95492816
1788825600,103800799.96271524,56254545.83023881
1788827400,126572747.34043558,57009596.68673623
1788829200,125558825.38824032,59108338.14371563
1788831000,148092532.41814446,53878903.31725651
1788832800,163575388.79949123,52312387.77387633
1788834600,219678723.80767995,50959357.34062173
1788836400,175812922.06496003,52039586.496030286
